B01REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B07A;B12;B16T;B26;E01A;E01B;E01C;E01H;ED01;ED02;ED03;ED0504;ED06C;ED08;ED10;e01aimde;e01hde;pobrezai;pobnopoi
3;8;0;0;8;8;8;8;3;2;3000000;3;3000000;0;0;0;3;1;1;2405;1;19;2;2956086,287;0;3;0
2;8;0;5;8;8;8;8;3;2;4200000;3;4200000;0;0;0;3;1;1;2403;14;19;14;4186905,69;0;3;0
3;9;0;0;9;9;9;9;9;2;5500000;1;5500000;5000000;0;0;3;1;1;2402;14;19;14;5482852,689;0;3;0
1;8;0;0;8;8;8;8;15;2;10000000;1;10000000;0;0;0;3;1;1;2404;1;19;2;9968823,071;0;3;0
2;6;0;0;0;6;6;6;5;2;3200000;3;3200000;0;0;0;2;1;1;2404;10;19;2;3190023,383;0;3;0
3;10;10;10;10;0;10;10;10;2;2500000;1;2500000;0;0;0;3;1;1;2401;14;19;2;2492205,768;0;3;0
4;8;0;0;8;8;8;8;5;2;2500000;1;2500000;0;0;0;3;1;1;2405;14;19;2;2492205,768;0;3;0
5;10;10;10;10;10;10;0;8;2;2500000;1;2500000;0;0;0;3;1;1;903; ;19;14;2492205,768;0;3;0
7;8;0;10;10;8;8;8;20;2;2500000;1;2500000;0;0;0;3;1;1;606; ;19;2;2492205,768;0;3;0
9;8;8;0;8;8;8;8;5;2;2500000;3;2500000;0;0;0;3;1;1;409; ;19;2;2492205,768;0;3;0
9;8;0;8;8;8;8;8;18;6;2000000;4;2000000;0;0;0;3;1;1;409; ;19;2;1993764,614;0;3;0
5;8;8;8;8;8;0;8;6;2;2500000;3;2500000;0;0;0;3;1;1;409; ;19;2;2492205,768;0;3;0
3;10;0;10;10;10;10;10;0;2;3500000;3;3500000;0;0;0;3;1;1;2402;14;19;2;3489088,075;0;3;0
2;12;0;7;12;12;12;12;16;2;7000000;2;7000000;0;0;0;3;1;1;2405;1;19;1;6978176,15;0;3;0
3;8;0;8;8;8;8;8;0;2;2200000;1;2200000;0;0;0;3;1;1;902; ;19;2;2193141,076;0;3;0
7;8;8;8;0;6;8;8;4;2;2000000;3;2000000;0;0;0;3;1;1;903; ;19;2;2000000;0;3;0
2;12;12;12;0;0;12;12;1;2;5000000;1;5000000;0;0;0;2;1;1;2404;14;19;2;5000000;0;3;0
3;10;10;10;0;10;10;10;0;2;4000000;4;4000000;0;0;0;2;1;1;2405;14;19;2;4000000;0;3;0
1;8;8;8;0;0;8;8;10;2;3000000;1;3000000;0;0;0;2;1;1;2405;1;19;2;3000000;0;3;0
9;10;10;10;0;10;10;10;25;6;1200000;4;1720000;0;0;0;2;1;1;1503; ;19;2;1720000;0;3;0
3;10;10;0;0;10;10;10;25;2;2500000;1;3700000;0;0;0;3;1;1;606; ;19;1;3657109,737;0;3;0
3;10;10;0;0;10;10;10;5;2;2000000;4;2000000;0;0;0;3;1;1;903; ;19;1;1976816,074;0;3;0
4;6;6;0;6;6;6;6;0;2;1800000;3;1800000;0;0;0;3;1;1;903; ;19;1;1779134,467;0;3;0
2;6;6;0;0;6;6;6;16;1;5000000;1;5000000;0;0;0;3;1;1;2405;1;19;3;4942040,185;0;3;0
1;8;0;8;8;8;8;8;3;2;2680000;4;2910000;0;0;0;2;1;1;2401;14;19;2;2876267,388;0;3;0
7;12;12;0;12;12;12;12;6;2;2500000;1;2500000;0;0;0;2;1;1;306; ;19;1;2471020,093;0;2;1
2;9;9;0;6;9;9;9;0;2;2500000;1;3220000;0;0;0;3;1;1;2405;1;19;2;3182673,879;0;3;0
3;0;0;0;0;0;0;0;10;1;4200000;3;4200000;0;0;0;2;1;1;2405;1;19;2;4203286,385;0;3;0
7;8;0;0;8;8;8;8;13;1;3000000;1;3000000;0;0;0;3;1;1;605; ;19;2;3002347,418;0;3;0
9;4;0;0;6;6;6;6;20;6;1600000;4;1600000;320000;0;0;3;1;1;901; ;19;1;1601251,956;0;3;0
5;8;0;0;8;8;8;8;10;1;2200000;1;2200000;0;0;0;3;1;1;606; ;19;2;2201721,44;0;3;0
9;8;0;8;8;8;8;8;5;2;2550000;4;2550000;0;0;0;3;1;1;501; ;19;2;2551995,305;0;3;0
1;6;0;0;6;6;6;6;30;1;8778681;1;8778681;0;0;0;2;1;1;2405;1;19;2;8785550,077;0;3;0
9;8;8;5;5;8;8;8;6;2;2454000;3;2454000;0;0;0;2;1;1;903; ;19;1;2454000;0;3;0
5;8;8;0;8;8;8;8;3;2;2600000;1;2600000;0;0;0;2;1;1;2404;1;19;2;2600000;0;3;0
