B01REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B07A;B12;B16T;B26;E01A;E01B;E01C;E01H;ED01;ED02;ED03;ED0504;ED06C;ED08;ED10;e01aimde;e01hde;pobrezai;pobnopoi
1;0;9;9;9;9;0;9;0;2;2400000;3;2400000;0;0;0;2;1;1;2405;1;19;2;2381380,915;0;3;0
8;8;8;8;0;8;8;8;20;2;2200000;4;2200000;500000;0;0;1;1;1;306; ;19;1;2182932,506;0;3;0
4;9;9;0;9;9;9;9;5;2;2500000;3;2500000;0;0;0;2;1;1;606; ;19;16;2480605,12;0;3;0
9;8;8;0;0;8;8;8;0;2;1820000;1;1820000;200000;0;0;3;1;1;606; ;19;2;1805880,528;0;2;1
5;10;10;10;10;10;10;0;0;2;1820000;4;2210000;0;0;0;3;1;1;2001;14;19;14;2192854,926;0;3;0
3;7;7;0;0;7;7;7;8;2;2500000;4;3000000;0;0;0;2;1;1;2403;14;19;14;2976726,144;0;3;0
3;8;8;8;0;0;8;8;2;1;2400000;1;2400000;0;0;0;2;1;1;2404;1;19;5;2381380,915;0;3;0
8;9;9;9;0;9;9;9;23;2;6000000;3;6000000;0;0;0;3;1;1;706; ;19;2;5953452,289;0;3;0
4;8;8;8;8;8;8;8;12;2;3000000;1;3000000;0;0;0;2;1;1;2404;14;19;2;3028413,575;0;3;0
9;0;0;0;0;0;0;0;19;2;1500000;4;1500000;0;0;0;1;1;1;1204; ;19;2;1514206,788;0;3;0
9;8;8;8;0;4;8;8;5;6;1200000;4;1560000;0;0;0;3;1;1;903; ;19;1;1574775,059;0;3;0
2;0;0;0;0;0;0;0;18;1;4800000;1;4800000;0;0;0;2;1;1;2103;3;19;2;4845461,721;0;3;0
4;10;10;10;0;10;10;10;0;2;2350000;1;2350000;0;0;0;3;1;1;2405;1;19;2;2372257,301;0;3;0
9;8;8;8;0;8;8;8;20;6;1200000;4;1600000;0;0;0;2;1;1;605; ;19;1;1615153,907;0;3;0
2;0;0;0;0;0;0;0;12;1;4500000;1;4500000;1700000;2289000;0;3;1;1;2404;1;19;2;4542620,363;0;3;0
4;9;9;9;0;9;9;9;10;2;2000000;4;2000000;0;0;0;3;1;1;606; ;19;16;2018942,384;0;3;0
1;8;8;8;0;5;8;8;0;2;3500000;1;3500000;0;0;0;2;1;1;2405;10;19;2;3533149,171;0;3;0
7;8;8;8;8;0;8;8;0;1;2450000;1;3750000;0;0;0;3;1;1;606; ;19;2;3738308,652;0;3;0
8;8;8;8;8;0;8;8;5;2;1800000;4;1800000;0;0;0;1;1;1;605; ;19;2;1794388,153;0;2;1
9;4;4;4;4;0;4;4;17;6;800000;4;800000;0;0;0;2;1;1;501; ;19;1;797505,846;0;2;1
7;8;8;8;8;0;8;8;6;2;1800000;4;1800000;0;0;0;2;1;1;901; ;19;15;1794388,153;0;3;0
1;8;8;8;8;0;5;8;18;2;3800000;1;3800000;0;0;0;2;1;1;606; ;19;2;3788152,767;0;3;0
5;11;12;12;12;0;12;12;1;1;3800000;1;3800000;0;0;0;2;1;1;2302;6;19;2;3788152,767;0;3;0
7;7;8;8;8;8;8;8;5;2;2250000;4;2250000;0;0;0;1;1;1;304; ;19;2;2242985,191;0;3;0
7;11;11;11;11;0;11;11;3;2;2210000;4;2210000;0;0;0;2;1;1;902; ;19;14;2203109,899;0;2;1
9;9;9;9;9;0;5;9;0;2;2000000;4;2000000;0;0;0;2;1;1;407; ;19;2;1993764,614;0;3;0
8;7;7;7;7;0;7;7;2;2;1800000;4;1800000;0;0;0;2;1;1;306; ;19;2;1794388,153;0;3;0
7;7;7;0;7;7;7;7;7;2;1800000;4;1800000;1960000;0;0;2;1;1;409; ;19;15;1802819,107;0;3;0
9;2;2;0;2;2;2;2;8;6;800000;4;1190000;0;0;0;2;1;1;2402;14;19;1;1191863,743;0;3;0
2;6;6;0;6;6;0;6;12;1;4200000;1;4500000;0;0;0;2;1;1;2404;1;19;1;4507047,768;0;3;0
9;9;9;0;0;9;9;9;6;2;2200000;4;2200000;0;0;0;1;1;1;502; ;19;2;2203445,576;0;3;0
9;8;8;0;8;8;8;8;8;2;1400000;4;1400000;0;0;0;1;1;1;408; ;19;15;1402192,639;0;3;0
7;8;8;0;8;8;8;8;9;2;2000000;4;2000000;0;0;0;1;1;1;903; ;19;1;2003132,341;0;3;0
8;12;12;0;5;12;12;12;6;2;1680000;4;1680000;0;0;0;1;1;1;903; ;19;2;1682631,167;0;2;1
7;0;7;0;7;7;7;7;5;2;2000000;4;2000000;280000;0;0;2;1;1;903; ;19;2;2003132,341;0;3;0
7;8;8;0;8;8;8;8;0;2;1800000;4;1800000;0;0;0;3;1;1;306; ;19;1;1802819,107;0;2;1
7;8;8;0;8;8;8;8;4;2;2000000;4;2000000;0;0;0;3;1;1;306; ;19;1;2003132,341;0;2;1
9;0;0;0;0;8;0;8;29;6;800000;4;1040000;0;0;0;3;1;1;306; ;19;1;1041628,818;0;2;1
8;0;11;0;2;11;0;11;21;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;2;1602505,873;0;2;1
5;0;0;12;12;0;0;0;0;6;1000000;4;1200000;0;0;0;1;1;1;1002; ;19;1;1201879,405;0;2;1
7;9;9;9;9;0;9;9;15;2;1200000;4;1200000;0;0;0;1;1;1;306; ;19;1;1201879,405;0;3;0
7;16;16;16;16;10;16;16;37;2;2400000;4;2400000;0;0;0;1;1;1;302; ;19;1;2403758,81;0;3;0
7;10;10;10;10;10;10;10;10;2;2000000;4;2000000;0;0;0;2;1;1;903; ;19;1;2003132,341;0;3;0
7;10;10;10;10;10;10;10;6;2;2000000;4;2000000;0;0;0;2;1;1;306; ;19;1;2003132,341;0;3;0
5;8;8;8;6;8;0;8;2;2;2400000;3;2400000;0;0;0;1;1;1;903; ;19;1;2403758,81;0;3;0
7;12;12;12;12;0;12;12;25;2;2800000;4;2800000;0;0;0;1;1;1;306; ;19;1;2800000;0;3;0
5;8;8;8;0;8;8;8;2;2;1500000;4;2020000;480000;0;0;2;1;1;2404;1;19;2;2020000;0;3;0
5;11;11;11;11;0;11;11;6;2;1200000;4;1200000;0;0;0;2;1;1;2401;14;19;2;1200000;0;3;0
9;9;9;9;9;0;5;9;10;2;1600000;4;1600000;0;0;0;2;1;1;903; ;19;2;1600000;0;2;1
7;8;8;8;8;0;8;8;22;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;1;1600000;0;3;0
7;8;8;8;8;0;8;8;5;2;1600000;4;1600000;0;0;0;2;1;1;903; ;19;1;1600000;0;3;0
7;9;9;9;9;0;5;9;12;2;1600000;4;1600000;0;0;0;1;1;1;903; ;19;2;1600000;0;3;0
7;9;9;9;9;0;5;9;9;2;1600000;4;1600000;0;0;0;1;1;1;903; ;19;2;1600000;0;3;0
7;9;9;9;9;0;5;9;7;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;15;1600000;0;3;0
7;9;9;9;9;0;5;9;6;2;1600000;4;1600000;0;0;0;1;1;1;409; ;19;15;1600000;0;3;0
7;8;8;8;8;0;8;8;10;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;1;1600000;0;2;1
5;11;11;11;11;0;6;11;1;2;2320000;1;2320000;0;0;0;2;1;1;2401;14;19;2;2320000;0;3;0
7;10;10;10;10;0;5;10;2;2;1400000;4;1400000;0;0;0;2;1;1;901; ;19;2;1400000;0;3;0
9;8;8;8;0;4;8;8;23;6;800000;4;2400000;0;0;0;1;1;1;604; ;19;14;2401877,934;0;3;0
7;0;4;0;0;0;8;4;25;2;1920000;4;1920000;0;0;0;2;1;1;606; ;19;1;1921502,347;0;2;1
7;8;8;8;0;8;8;8;8;2;1200000;4;1200000;0;0;0;2;1;1;903; ;19;2;1200938,967;0;2;1
2;1;6;12;0;0;0;5;2;1;2300000;1;2300000;0;0;0;1;1;1;2404;9;19;2;2301799,687;0;2;1
7;0;8;0;0;0;0;0;28;2;1500000;4;1500000;0;0;0;1;1;1;306; ;19;6;1501173,709;0;3;0
7;4;0;0;0;0;0;0;5;2;1200000;4;1200000;0;0;0;1;1;1;306; ;19;2;1200938,967;0;3;0
7;8;8;8;0;4;8;8;11;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;2;1601251,956;0;3;0
7;8;8;8;0;4;8;8;5;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;2;1601251,956;0;3;0
5;8;8;8;0;6;8;8;0;6;700000;4;700000;0;0;0;1;1;1;903; ;19;1;700547,731;0;2;1
7;8;8;8;8;0;6;8;3;2;2400000;4;2400000;0;0;0;1;1;1;306; ;19;2;2411311,862;0;3;0
9;15;15;15;15;0;0;0;0;6;2000000;4;2300000;0;0;0;1;1;1;903; ;19;1;2310840,534;0;1;1
7;6;6;6;6;0;6;6;10;2;1200000;4;1200000;0;0;0;1;1;1;306; ;19;1;1205655,931;0;2;1
7;6;6;6;6;0;6;6;7;2;800000;4;800000;0;0;0;1;1;1;306; ;19;1;803770,621;0;2;1
2;8;8;8;8;8;8;8;2;2;2500000;3;2500000;0;0;0;2;1;1;2002;7;19;1;2511783,189;0;2;1
7;8;8;8;8;0;0;8;26;2;2400000;4;2400000;0;0;0;1;1;1;501; ;19;2;2411311,862;0;3;0
7;0;8;8;8;0;5;8;1;2;1600000;4;1600000;0;0;0;1;1;1;306; ;19;10;1607541,241;0;3;0
9;0;0;9;9;0;6;8;1;2;1400000;4;1400000;0;0;0;1;1;1;409; ;19;2;1406598,586;0;3;0
8;6;18;6;18;6;18;6;20;2;2400000;4;2400000;0;0;0;1;1;1;306; ;19;1;2411311,862;0;3;0
7;10;10;10;10;0;10;10;15;2;1600000;4;1600000;0;0;0;1;1;1;304; ;19;2;1607541,241;0;3;0
2;6;6;6;6;0;6;6;7;1;5100000;1;5100000;3000000;0;0;3;1;1;2406;10;19;2;5100000;0;3;0
9;9;9;9;9;0;9;9;1;2;2600000;4;2600000;0;0;0;1;1;1;903; ;19;2;2600000;0;3;0
3;5;5;5;5;0;5;5;11;1;1181818;1;1181818;500000;0;0;1;1;1;2404;1;19;1;1181818;0;3;0
5;6;6;6;6;0;0;6;14;1;3500000;1;3500000;3000000;0;0;3;1;1;2404;1;19;2;3500000;0;3;0
5;0;8;12;12;0;0;8;18;1;6000000;1;6000000;0;0;0;3;1;1;2301;6;19;1;6000000;0;3;0
2;0;0;0;0;0;0;8;20;1;6700000;1;6700000;0;0;0;3;1;1;2104;4;19;2;6700000;0;3;0
6;9;9;9;9;9;9;9;5;2;0;4;0;0;0;0;3;1;1;2403;14;19;3;0;0;3;0
3;2;0;2;0;2;0;2;10;2;2000000;4;2000000;0;0;0;1;1;1;2404;1;19;5;1993764,614;0;3;0
8;0;9;9;9;9;9;9;12;2;2500000;4;2500000;0;0;0;2;1;1;606; ;19;5;2492205,768;0;3;0
2;0;17;0;0;7;17;7;2;1;3650000;3;3650000;0;0;0;2;1;1;2404;1;19;3;3638620,421;0;3;0
6;0;8;8;0;0;8;8;23;2;800000;4;800000;0;0;0;1;1;1;306; ;19;1;801252,937;0;2;1
5;9;9;0;9;0;0;9;1;6;700000;4;1300000;0;0;0;1;1;1;903; ;19;1;1284930,448;0;3;0
9;11;11;11;11;0;5;11;4;2;1200000;4;1200000;0;0;0;2;1;1;409; ;19;15;1186089,645;0;3;0
9;8;8;0;4;0;0;8;2;2;2000000;4;2000000;0;0;0;1;1;1;306; ;19;1;1976816,074;0;3;0
5;0;6;0;6;0;0;6;3;1;1500000;3;1500000;0;0;0;2;1;1;2404;1;19;5;1482612,056;0;3;0
3;6;6;6;6;0;0;6;2;1;2600000;2;2600000;0;0;0;1;1;1;2405;1;19;2;2569860,896;0;3;0
9;6;6;6;6;0;6;6;4;6;700000;4;1000000;0;0;0;2;1;1;606; ;19;1;988408,037;0;3;0
7;7;7;7;7;0;0;7;18;2;1500000;4;1500000;0;0;0;2;1;1;1202; ;19;2;1482612,056;0;3;0
5;10;0;10;10;10;10;10;5;2;2300000;1;2900000;0;0;0;2;1;1;606; ;19;2;2900000;0;3;0
5;0;0;6;6;6;6;0;0;2;2000000;4;2000000;0;0;0;2;1;1;1003; ;19;2;2000000;0;3;0
5;9;0;9;9;9;9;9;0;2;1400000;1;1920000;0;0;0;1;1;1;306; ;19;15;1920000;0;3;0
9;8;0;5;8;8;8;8;10;2;2080000;4;2080000;0;0;0;1;1;1;306; ;19;1;2080000;0;3;0
9;8;0;5;8;8;8;8;2;2;1560000;4;1560000;0;0;0;1;1;1;306; ;19;1;1560000;0;3;0
9;10;0;5;10;5;10;5;3;2;1560000;4;1560000;0;0;0;1;1;1;306; ;19;1;1560000;0;3;0
9;8;0;8;8;8;8;8;1;2;2000000;4;2000000;0;0;0;2;1;1;503; ;19;2;2000000;0;3;0
4;0;9;9;9;9;9;9;5;2;2300000;1;2300000;0;0;0;2;1;1;2405;1;19;2;2300000;0;3;0
7;9;0;9;9;9;9;9;4;2;1440000;4;1440000;0;0;0;1;1;1;903; ;19;1;1440000;0;2;1
9;8;0;8;8;8;8;8;1;2;1500000;4;1500000;0;0;0;2;1;1;2405;1;19;5;1514206,788;0;3;0
9;8;0;8;8;8;8;8;20;6;1200000;4;1920000;0;0;0;2;1;1;305; ;19;1;1938184,688;0;3;0
9;8;0;8;8;8;8;8;0;2;2000000;3;2000000;0;0;0;2;1;1;902; ;19;1;2018942,384;0;3;0
3;0;8;8;8;2;2;0;4;2;2000000;4;2000000;500000;0;0;2;1;1;903; ;19;1;2018942,384;0;3;0
9;8;0;8;8;8;8;8;6;2;2200000;3;2200000;0;0;0;2;1;1;2403;14;19;1;2220836,622;0;3;0
5;0;0;12;0;0;0;0;0;2;1200000;4;1200000;0;0;0;2;1;1;903; ;19;15;1211365,43;0;2;1
2;0;0;0;0;0;0;0;14;1;6800000;1;6800000;0;0;0;3;1;1;2404;1;19;2;6864404,104;0;3;0
5;7;0;0;7;7;7;7;16;2;2000000;3;4500000;0;0;0;3;1;1;1003; ;19;1;4542620,363;0;3;0
5;9;0;5;9;9;9;9;0;6;2500000;4;3280000;0;0;0;3;1;1;2402;14;19;14;3311065,509;0;3;0
1;5;0;5;5;5;5;5;10;1;2200000;1;2200000;0;0;0;3;1;1;606; ;19;1;2220836,622;0;3;0
7;8;0;8;8;8;8;8;3;2;1500000;4;1500000;0;0;0;3;1;1;409; ;19;2;1514206,788;0;3;0
2;0;0;0;0;0;0;0;23;1;8000000;1;8000000;0;0;0;2;1;1;2404;1;19;2;8075769,534;0;3;0
2;0;0;0;0;0;0;0;19;1;6000000;1;6000000;0;0;0;2;1;1;2404;1;19;2;6056827,151;0;3;0
7;0;5;8;8;8;8;8;2;2;1760000;4;1760000;0;0;0;2;1;1;901; ;19;2;1754512,86;0;3;0
3;0;8;8;8;8;8;8;3;2;2500000;1;2500000;0;0;0;2;1;1;2103;3;19;1;2492205,768;0;3;0
9;0;5;8;8;8;8;8;1;2;1800000;4;1800000;0;0;0;2;1;1;2402;14;19;1;1794388,153;0;3;0
5;0;5;8;8;8;8;8;2;2;0;3;600000;0;0;0;2;1;1;2401;14;19;1;598129,384;0;3;0
5;8;8;8;8;8;8;8;3;2;2550000;1;2550000;0;0;0;1;1;1;903; ;19;2;2562018,853;0;3;0
5;9;9;0;9;9;9;9;0;2;1400000;4;1920000;0;0;0;1;1;1;2002;7;19;2;1929049,489;0;3;0
2;6;6;0;0;6;6;6;10;1;4200000;1;4200000;0;0;0;3;1;1;2002;7;19;2;4219795,758;0;3;0
7;8;0;5;8;8;8;8;20;2;2300000;4;2300000;0;0;0;3;1;1;503; ;19;15;2292829,306;0;3;0
2;12;0;0;12;0;12;0;11;1;5000000;1;5000000;0;0;0;3;1;1;2404;1;19;2;4984411,535;0;3;0
3;8;0;0;8;8;8;8;12;1;2580000;1;2580000;0;0;0;2;1;1;2404;14;19;2;2571956,352;0;3;0
7;10;10;10;10;10;10;10;7;2;2600000;4;2600000;0;0;0;2;1;1;902; ;19;1;2561941,448;0;3;0
3;9;0;5;0;9;9;9;1;2;4000000;1;4000000;0;0;0;3;1;1;2405;1;19;2;3941448,382;0;3;0
2;0;0;0;0;0;0;0;2;1;2800000;3;3320000;0;0;0;2;1;1;2404;1;19;2;3271402,157;0;3;0
2;6;0;6;6;6;6;6;11;1;3500000;1;3500000;0;0;0;1;1;1;2404;1;19;5;3448767,334;0;3;0
8;0;12;12;0;0;12;0;15;1;2700000;1;3900000;0;0;0;3;1;1;2404;14;19;2;3842912,173;0;3;0
2;6;0;0;0;6;6;6;0;1;3500000;1;3500000;0;0;0;3;1;1;2405;1;19;5;3448767,334;0;3;0
2;0;15;0;0;15;0;0;2;1;3700000;1;4200000;4200000;0;0;3;1;1;2405;1;19;5;4138520,801;0;3;0
9;9;0;9;9;9;9;9;8;6;1250000;4;1610000;0;0;0;1;2;1;306; ;19;1;1586432,974;0;3;0
2;8;0;0;8;8;8;8;28;1;4200000;1;4500000;0;0;0;2;1;1;2103;3;19;1;4434129,43;0;3;0
2;8;0;0;8;8;8;8;5;1;5000000;3;5000000;4000000;0;0;2;1;1;2406;10;19;1;4926810,478;0;3;0
3;8;8;0;0;8;8;8;12;1;2400000;1;2400000;0;0;0;3;1;1;2405;14;19;18;2401877,934;0;3;0
2;8;8;0;0;8;8;8;7;1;4200000;1;4200000;0;0;0;2;1;1;2103;3;19;2;4203286,385;0;3;0
5;9;9;0;6;9;9;9;24;2;2000000;1;2000000;0;0;0;2;1;1;2003;7;19;2;2001564,945;0;3;0
9;12;12;0;0;12;12;12;1;2;800000;4;800000;0;0;0;1;1;1;2002;7;19;2;800625,978;0;3;0
9;0;6;0;6;0;6;0;5;6;400000;4;640000;0;0;0;2;1;1;502; ;19;1;640000;0;3;0
9;0;5;9;9;9;9;0;4;2;1480000;4;1480000;0;0;0;2;1;1;303; ;19;2;1480000;0;3;0
9;0;5;9;9;9;9;0;3;2;1480000;4;1480000;0;0;0;2;1;1;903; ;19;2;1480000;0;3;0
3;0;4;8;8;8;8;0;8;2;4255000;1;4610000;0;0;0;2;1;1;2405;14;19;3;4610000;0;3;0
3;0;5;8;8;8;8;0;6;2;1985000;2;4300000;0;0;0;2;1;1;2404;1;19;5;4300000;0;3;0
5;0;8;8;8;8;8;0;6;2;2000000;1;3200000;0;0;0;1;1;1;2404;14;19;3;3200000;0;3;0
9;0;8;8;8;8;8;0;3;2;1800000;4;1800000;0;0;0;1;1;1;903; ;19;16;1800000;0;3;0
2;0;0;6;6;6;6;0;3;1;3500000;3;3500000;0;0;0;2;1;1;2404;1;19;2;3500000;0;3;0
2;6;0;0;6;6;6;6;10;1;7000000;1;7000000;0;0;0;3;1;1;2405;1;19;2;6945694,337;0;3;0
4;8;0;6;8;8;8;8;5;2;2500000;3;2500000;0;0;0;3;1;1;903; ;19;2;2480605,12;0;3;0
5;9;9;0;5;9;9;9;1;2;2300000;1;2300000;0;0;0;3;1;1;2401;14;19;2;2303602,193;0;3;0
1;8;8;0;8;8;8;8;6;2;7000000;1;7480000;0;0;0;3;1;1;2403;14;19;2;7491714,957;0;3;0
1;0;0;0;5;0;0;0;8;2;2500000;2;2500000;0;0;8000000;3;1;1;2404;1;19;14;2503915,427;8012529,366;3;0
7;9;0;0;9;9;9;9;10;2;2000000;4;2330000;0;0;0;2;1;1;606; ;19;2;2330000;0;3;0
5;8;0;8;8;8;8;8;5;6;1000000;4;1390000;0;0;0;3;1;1;2404;1;19;2;1390000;0;3;0
8;9;0;6;9;9;9;9;0;2;1800000;3;1800000;0;0;0;3;1;1;2404;1;19;2;1800000;0;3;0
2;4;0;0;4;4;4;4;12;1;2800000;1;2800000;2500000;0;0;3;1;1;2103;3;19;14;2800000;0;3;0
9;8;0;8;8;8;8;8;3;2;1800000;4;1800000;0;0;0;3;1;1;903; ;19;16;1800000;0;3;0
7;8;0;6;8;8;8;8;20;2;2600000;4;2600000;0;0;0;2;1;1;305; ;19;1;2600000;0;3;0
2;8;8;8;8;8;8;8;2;2;2500000;3;2750000;0;0;0;1;1;1;2405;1;19;5;2741426,345;0;3;0
4;9;9;0;5;9;9;9;5;2;2300000;1;2800000;0;0;0;2;1;1;606; ;19;15;2791270,46;0;3;0
8;8;8;0;8;8;8;8;6;2;2000000;4;2000000;0;0;0;2;1;1;903; ;19;1;1993764,614;0;3;0
4;6;6;0;0;6;6;6;10;1;2600000;1;2600000;0;0;0;2;1;1;2405;1;19;2;2591893,998;0;3;0
3;8;8;0;3;8;8;8;12;2;3000000;1;3000000;0;0;0;3;1;1;2405;1;19;5;2990646,921;0;3;0
1;0;0;8;8;8;8;8;4;1;9300000;1;9300000;0;0;0;3;1;1;2404;9;19;14;9271005,456;0;3;0
9;0;6;8;8;8;8;8;3;2;1280000;4;1280000;0;0;0;2;1;1;902; ;19;2;1276009,353;0;2;1
5;0;8;8;8;8;8;8;0;2;1400000;4;1400000;0;0;0;2;1;1;1602; ;19;5;1395635,23;0;2;1
5;5;10;10;10;10;10;10;0;2;1000000;4;1000000;0;0;0;2;1;1;903; ;19;2;996882,307;0;1;1
9;0;0;6;6;6;6;0;10;1;3855450;1;5080450;3303500;0;0;3;1;1;2406;9;19;5;5064610,717;0;3;0
1;0;0;8;8;8;8;0;1;2;4652800;2;4652800;0;0;0;3;1;1;2406;9;19;5;4638293,998;0;3;0
9;0;0;4;0;4;0;4;8;6;600000;4;600000;500000;0;0;2;1;1;503; ;19;1;598129,384;0;3;0
9;8;0;8;8;8;8;8;3;2;1800000;4;2100000;600000;0;0;3;1;1;2103;3;19;2;2093452,845;0;3;0
9;0;4;4;4;4;4;4;16;2;1000000;4;1000000;0;0;0;3;1;1;606; ;19;2;996882,307;0;3;0
4;0;0;8;8;8;8;8;0;2;1600000;4;1600000;0;0;0;2;1;1;2404;1;19;2;1595011,691;0;3;0
9;8,3;0;9;8,3;6;6;6;2;2;740000;4;740000;0;0;0;2;1;1;408; ;19;2;737692,907;0;2;1
7;8;0;5;8;8;8;8;3;2;880000;4;880000;0;0;0;2;1;1;903; ;19;3;877256,43;0;2;1
2;8;0;0;8;8;8;8;11;1;4500000;1;4500000;0;0;0;2;1;1;2404;1;19;2;4485970,382;0;3;0
7;8,3;0;8,3;0;0;0;0;10;2;600000;4;2400000;0;0;0;3;1;1;903; ;19;2;2392517,537;0;2;1
9;0;0;0;8;8;8;0;8;2;1760000;4;1760000;0;0;0;1;1;1;306; ;19;2;1754512,86;0;2;1
9;8;0;6;8;8;8;8;15;2;2000000;4;2000000;500000;0;0;2;1;1;903; ;19;15;1993764,614;0;3;0
2;0;0;0;0;0;0;0;15;1;4000000;1;4180000;0;0;0;2;1;1;2404;1;19;14;4166968,044;0;3;0
2;8;0;0;8;8;8;8;5;2;3000000;3;3000000;0;0;0;1;1;1;2405;1;19;3;2990646,921;0;3;0
4;6;0;0;6;6;6;6;0;1;2550000;2;2550000;0;0;0;3;1;1;2404;1;19;5;2542049,883;0;3;0
5;6;0;6;6;6;6;6;1;2;1200000;4;1200000;0;0;0;2;1;1;2003;7;19;14;1196258,769;0;3;0
5;9;0;5;9;9;9;9;2;6;1400000;4;1700000;0;0;0;2;1;1;2404;14;19;18;1694699,922;0;3;0
5;12;0;6;12;12;12;12;5;2;1500000;4;1500000;0;0;0;3;1;1;903; ;19;2;1495323,461;0;3;0
3;4;0;0;4;4;4;4;6;1;3100000;2;3100000;0;0;0;3;1;1;2405;1;19;5;3090335,152;0;3;0
9;10;10;10;6;10;10;10;10;2;800000;4;1400000;0;0;0;5;1;1;301; ;19;11;1402192,639;0;3;0
9;0;8;0;0;0;8;0;10;2;1000000;4;1240000;0;0;0;2;1;1;306; ;19;1;1241942,052;0;3;0
3;8;8;8;0;5;9;9;0;2;1200000;4;1200000;1200000;0;0;1;1;1;902; ;19;14;1201879,405;0;2;1
5;5;5;5;0;5;5;5;0;2;1000000;4;1300000;0;0;0;1;1;1;409; ;19;1;1302036,022;0;2;1
5;8;8;8;8;8;0;8;1;2;2000000;3;2200000;0;0;0;1;1;1;2403;14;19;14;2203445,576;0;3;0
2;8;0;0;0;0;0;8;3;2;1500000;2;1500000;2300000;0;0;1;1;1;2405;1;19;2;1502349,256;0;3;0
2;9;9;9;0;0;0;9;8;1;3000000;1;3240000;4000000;0;0;3;1;1;2405;10;19;2;3245074,393;0;3;0
9;8;8;8;8;0;4;8;8;2;2000000;4;2000000;0;0;0;2;1;1;304; ;19;15;2009426,551;0;3;0
3;0;11;0;11;0;0;0;2;2;0;4;1800000;0;0;0;2;1;1;903; ;19;2;1808483,896;0;3;0
7;9;9;9;9;0;5;9;5;2;2800000;4;2800000;0;0;0;2;1;1;2405;14;19;18;2813197,172;0;3;0
5;8;8;8;8;8;8;8;4;2;1000000;4;1900000;0;0;0;2;1;1;903; ;19;18;1908955,224;0;3;0
4;6;6;6;6;0;0;6;10;1;2500000;1;2500000;800000;0;0;1;1;1;2404;10;19;5;2511783,189;0;3;0
9;8;8;8;8;8;8;8;3;2;1400000;4;1400000;0;0;0;1;1;1;304; ;19;1;1406598,586;0;2;1
2;4;4;4;4;0;0;4;14;1;3000000;1;3250000;0;0;0;2;1;1;2103;3;19;5;3265318,146;0;3;0
9;8;0;0;0;0;8;8;10;6;1200000;4;1400000;0;0;0;2;1;1;409; ;19;12;1406598,586;0;3;0
7;10;10;0;10;10;10;10;3;2;2400000;1;2400000;0;0;0;2;1;1;306; ;19;1;2372179,289;0;3;0
2;6;6;0;0;6;6;6;10;1;3500000;1;3500000;0;0;0;3;1;1;2406;1;19;2;3459428,13;0;3;0
7;9;9;0;9;9;9;9;3;2;2000000;4;2000000;0;0;0;1;1;1;903; ;19;16;1976816,074;0;3;0
5;9;9;0;5;9;9;9;3;6;1000000;4;1442000;0;0;0;2;1;1;903; ;19;2;1425284,389;0;3;0
5;8;8;0;0;8;8;8;0;6;500000;4;942000;0;0;0;2;1;1;408; ;19;6;931080,371;0;3;0
5;8;8;0;8;8;8;8;5;2;2000000;4;2000000;200000;0;0;2;1;1;2404;1;19;2;1976816,074;0;3;0
8;0;0;0;0;10;10;10;5;2;1700000;1;1700000;0;0;0;2;1;1;2404;1;19;14;1680293,663;0;3;0
7;10;10;0;5;10;10;10;5;2;2400000;4;2400000;0;0;0;2;1;1;903; ;19;3;2392517,537;0;3;0
9;9;9;0;0;9;9;9;10;2;2550000;3;2910000;0;0;0;3;1;1;604; ;19;2;2900927,514;0;3;0
9;9;9;0;6;9;9;9;4;6;1300000;4;2000000;0;0;0;3;1;1;409; ;19;14;1993764,614;0;3;0
9;7;7;0;7;7;7;7;0;6;1560000;4;1560000;0;0;0;3;1;1;2403;14;19;14;1555136,399;0;3;0
7;9;9;0;9;9;9;9;17;2;1600000;4;1600000;0;0;0;3;1;1;903; ;19;3;1595011,691;0;3;0
8;10;10;0;0;10;10;10;2;2;1500000;3;2000000;0;0;0;1;1;1;409; ;19;6;1993764,614;0;3;0
9;8;8;0;8;8;8;8;0;2;1500000;4;1890000;0;0;0;2;1;1;407; ;19;14;1884107,56;0;3;0
9;8;8;0;8;8;8;8;26;6;2000000;4;3300000;0;0;0;2;1;1;903; ;19;2;3289711,613;0;3;0
7;10;10;0;0;10;10;10;2;2;1200000;4;1200000;0;0;0;1;1;1;306; ;19;2;1196258,769;0;3;0
9;8;8;8;0;8;8;8;15;6;1600000;4;2200000;0;0;0;3;1;1;605; ;19;14;2193141,076;0;3;0
9;6;6;0;6;6;6;6;4;2;800000;4;1200000;0;0;0;3;1;1;903; ;19;2;1196258,769;0;3;0
7;8;8;8;8;0;0;8;10;2;2500000;4;2500000;0;0;0;2;1;1;903; ;19;2;2492205,768;0;3;0
9;8;8;8;0;8;8;8;5;2;2000000;4;2000000;0;0;0;2;1;1;903; ;19;1;1993764,614;0;3;0
